CompanyID;CompanyAcronym;CompanyName;SignalID;HistorianID;HistorianAcronym;HistorianConnectionString;PointID;PointTag;AlternateTag;DeviceID;NodeID;DeviceAcronym;DeviceName;FramesPerSecond;DeviceEnabled;ContactList;VendorDeviceID;VendorDeviceName;VendorDeviceDescription;ProtocolID;ProtocolAcronym;ProtocolName;SignalTypeID;PhasorSourceIndex;PhasorLabel;PhasorType;Phase;BaseKV;SignalReference;Adder;Multiplier;Description;Subscribed;Internal;Enabled;EngineeringUnits;Source;SignalAcronym;SignalName;SignalTypeSuffix;Longitude;Latitude;ID;UpdatedOn
30;TVA;Tennessee Valley Authority;f8c25fbd-7e0a-4fa1-b4ec-3b189aecb91a;1;PPA;ArchiveDirectories={D:\openHistorian\Archive;MaximumArchiveDays=90;DesiredRemainingSpace=500;11;TVA_TESTDEVICE-DELL:ABBI;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;1;4;Dell;I;+;0;TESTDEVICE-PM4;0.0;1.0;Test Device ABB-521 Dell Positive Sequence Current Magnitude;0;1;1;Amps;Phasor;IPHM;Current Magnitude;PM;-898.038;353.871;PPA:11;28/04/2020 04:28
30;TVA;Tennessee Valley Authority;1d521e64-0a21-4dad-b10c-85d3eb8a5e1d;1;PPA;ArchiveDirectories={D:\openHistorian\Archive;MaximumArchiveDays=90;DesiredRemainingSpace=500;12;TVA_TESTDEVICE-DELL:ABBIH;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;2;4;Dell;I;+;0;TESTDEVICE-PA4;0.0;1.0;Test Device ABB-521 Dell Positive Sequence Current Phase Angle;0;1;1;Degrees;Phasor;IPHA;Current Phase Angle;PA;-898.038;353.871;PPA:12;28/04/2020 04:28
30;TVA;Tennessee Valley Authority;27244eda-7f6c-4f54-8838-f5070486c037;1;PPA;ArchiveDirectories={D:\openHistorian\Archive;MaximumArchiveDays=90;DesiredRemainingSpace=500;13;TVA_TESTDEVICE-LAGO:ABBI;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;1;5;Lagoon Creek;I;+;0;TESTDEVICE-PM5;0.0;1.0;Test Device ABB-521 Lagoon Creek Positive Sequence Current Magnitude;0;1;1;Amps;Phasor;IPHM;Current Magnitude;PM;-898.038;353.871;PPA:13;28/04/2020 04:28
30;TVA;Tennessee Valley Authority;8be17e64-cfa3-4846-9b39-30ad48ca9ad7;1;PPA;ArchiveDirectories={D:\openHistorian\Archive;MaximumArchiveDays=90;DesiredRemainingSpace=500;14;TVA_TESTDEVICE-LAGO:ABBIH;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;2;5;Lagoon Creek;I;+;0;TESTDEVICE-PA5;0.0;1.0;Test Device ABB-521 Lagoon Creek Positive Sequence Current Phase Angle;0;1;1;Degrees;Phasor;IPHA;Current Phase Angle;PA;-898.038;353.871;PPA:14;28/04/2020 04:28
;;;a65132bf-1df9-4821-a020-c9c895a0ed71;2;STAT;;15;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST1;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST1;0.0;1.0;Publisher statistic for Boolean value representing if the publisher was continually connected during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:15;12/05/2021 21:34
;;;3956fea2-ff55-4c57-8167-81eb29822744;2;STAT;;16;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST2;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST2;0.0;1.0;Publisher statistic for Number of clients connected to the command channel of the publisher during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:16;12/05/2021 21:34
;;;b2cf4cd8-59f0-437a-99a1-50b39c63af87;2;STAT;;17;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST3;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST3;0.0;1.0;Publisher statistic for Number of processed measurements reported by the publisher during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:17;12/05/2021 21:34
;;;763a51b1-459e-4d4d-b8d2-488ec487df76;2;STAT;;18;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST4;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST4;0.0;1.0;Publisher statistic for Number of bytes sent by the publisher during the last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:18;12/05/2021 21:34
;;;f3c358c7-f894-43a8-ae6e-c4c2e244f376;2;STAT;;19;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST5;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST5;0.0;1.0;Publisher statistic for Number of processed measurements reported by the publisher during the lifetime of the publisher.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:19;12/05/2021 21:34
;;;f043ae51-8083-45a2-9be8-0264218dbf1d;2;STAT;;20;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST6;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST6;0.0;1.0;Publisher statistic for Number of bytes sent by the publisher during the lifetime of the publisher.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:20;12/05/2021 21:34
